datetime,tempF,humidity,tempC,year,month,day,hour,minute,moisturecontent
2020-01-17T14:56:00Z,62.6,53.8,17,2020,1,17,14,56,6.370464656803638
2020-01-17T17:26:00Z,66.38,45.9,19.099999999999998,2020,1,17,17,26,6.156699318415616
2020-01-17T19:56:00Z,69.8,40.9,21,2020,1,17,19,56,6.130313360965649
2020-01-17T22:26:00Z,67.64,43.8,19.8,2020,1,17,22,26,6.1215280638480785
2020-01-18T00:56:00Z,64.76,45.2,18.200000000000003,2020,1,18,0,56,5.748811174590016
2020-01-18T03:26:00Z,62.78,45.4,17.1,2020,1,18,3,26,5.4080853747893745
2020-01-18T05:56:00Z,71.78,34.1,22.1,2020,1,18,5,56,5.446368581342257
2020-01-18T08:26:00Z,68.72,38.2,20.4,2020,1,18,8,26,5.529318485307025
2020-01-18T10:56:00Z,66.02,41.3,18.9,2020,1,18,10,56,5.4747853114132665
2020-01-18T13:26:00Z,65.66,41.4,18.7,2020,1,18,13,26,5.423643011061686
2020-01-18T15:56:00Z,65.48,42.2,18.6,2020,1,18,15,56,5.495877330144908
2020-01-18T18:26:00Z,64.76,44.5,18.200000000000003,2020,1,18,18,26,5.659780913036631
2020-01-18T20:56:00Z,71.06,37.1,21.700000000000003,2020,1,18,20,56,5.79055271069793
2020-01-18T23:26:00Z,66.38,42.4,19.099999999999998,2020,1,18,23,26,5.687234228776081
2020-01-19T01:56:00Z,64.22,43.8,17.9,2020,1,19,1,56,5.472410204225983
2020-01-19T04:26:00Z,63.14,44.4,17.3,2020,1,19,4,26,5.352567844877186
2020-01-19T06:56:00Z,69.62,38.2,20.900000000000002,2020,1,19,6,56,5.692492652680372
2020-01-19T09:26:00Z,67.46,42.1,19.699999999999996,2020,1,19,9,26,5.849567685444742
2020-01-19T11:56:00Z,66.74,44.8,19.299999999999997,2020,1,19,11,56,6.080278020190909
2020-01-19T14:26:00Z,66.92,44.7,19.400000000000002,2020,1,19,14,26,6.102461050415028
2020-01-19T16:56:00Z,67.82,43.1,19.9,2020,1,19,16,56,6.059057409499807
2020-01-19T19:26:00Z,66.56,43,19.200000000000003,2020,1,19,19,26,5.801760567492529
2020-01-19T21:56:00Z,68,39.9,20,2020,1,19,21,56,5.642099770273298
2020-01-20T00:26:00Z,64.04,42.6,17.800000000000004,2020,1,20,0,26,5.290926094605834
2020-01-20T02:56:00Z,63.14,40.7,17.3,2020,1,20,2,56,4.906520524470755
2020-01-20T05:26:00Z,63.5,37.5,17.5,2020,1,20,5,26,4.575028267228223
2020-01-20T07:56:00Z,71.24,31.9,21.799999999999997,2020,1,20,7,56,5.007735158341221
2020-01-20T10:26:00Z,65.66,37.4,18.7,2020,1,20,10,26,4.899619531732055
2020-01-20T12:56:00Z,66.02,38.5,18.9,2020,1,20,12,56,5.103613425893725
2020-01-20T15:26:00Z,66.02,37.9,18.9,2020,1,20,15,26,5.024076593282393
2020-01-20T17:56:00Z,66.38,39,19.099999999999998,2020,1,20,17,56,5.231182427411961
2020-01-20T20:26:00Z,68.18,35.9,20.100000000000005,2020,1,20,20,26,5.106230214195955
2020-01-20T22:56:00Z,66.38,37.1,19.099999999999998,2020,1,20,22,56,4.976329950179071
2020-01-21T01:26:00Z,62.42,38.2,16.900000000000002,2020,1,21,1,26,4.4962586275434235
2020-01-21T03:56:00Z,64.4,34,18.000000000000004,2020,1,21,3,56,4.2733045673874575
2020-01-21T06:26:00Z,69.62,29.3,20.900000000000002,2020,1,21,6,26,4.366231275485207
