Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2020-11-27 04:12:00,37.22,99.4
2020-11-27 04:27:00,37.02,99.66
2020-11-27 04:42:00,37.54,99.9
2020-11-27 04:57:00,37.98,99.9
2020-11-27 05:12:00,38.59,99.9
2020-11-27 05:27:00,37.81,99.9
2020-11-27 05:42:00,37.29,99.9
2020-11-27 06:12:00,36.23,99.9
2020-11-27 06:27:00,35.82,99.9
2020-11-27 06:42:00,35.24,99.9
2020-11-27 06:57:00,35.06,99.9
2020-11-27 07:12:00,34.95,99.9
2020-11-27 07:27:00,34.99,99.9
2020-11-27 07:42:00,35.11,99.9
2020-11-27 07:57:00,35.51,99.9
2020-11-27 08:12:00,36.46,99.9
2020-11-27 08:27:00,38.21,99.9
2020-11-27 08:42:00,40.26,99.9
2020-11-27 08:57:00,42.82,99.9
2020-11-27 09:12:00,46.58,99.9
2020-11-27 09:27:00,49.91,99.38
2020-11-27 09:42:00,52.25,90.34
2020-11-27 09:57:00,54.23,83.8
2020-11-27 10:12:00,57.27,71.22
2020-11-27 10:27:00,58.95,67.93
2020-11-27 10:42:00,60.42,65.65
2020-11-27 10:57:00,61.38,63.24
2020-11-27 11:12:00,62.31,56.29
2020-11-27 11:27:00,63.75,47.87
2020-11-27 11:42:00,64.31,47.43
2020-11-27 11:57:00,65.48,45.86
2020-11-27 12:12:00,65.17,42.07
2020-11-27 12:27:00,65.98,43.34
2020-11-27 12:42:00,66.27,49.79
2020-11-27 12:57:00,66.83,37.69
2020-11-27 13:12:00,67.71,35.7
2020-11-27 13:27:00,67.75,39.98
2020-11-27 13:42:00,68.14,39.54
2020-11-27 13:57:00,68.97,37.46
2020-11-27 14:12:00,69.31,34.6
2020-11-27 14:27:00,70.02,37.12
2020-11-27 14:42:00,70.16,35.2
2020-11-27 14:57:00,70.05,36.2
2020-11-27 15:12:00,69.49,35.19
2020-11-27 15:27:00,69.31,37.12
2020-11-27 15:42:00,68.65,38.45
2020-11-27 15:57:00,68.63,42.18
2020-11-27 16:12:00,67.82,42.99
2020-11-27 16:27:00,66.42,46.91
2020-11-27 16:42:00,64.44,54.63
2020-11-27 16:57:00,62.2,61.87
2020-11-27 17:12:00,59.79,66.95
2020-11-27 17:27:00,58.3,70.46
2020-11-27 17:42:00,56.93,72.86
2020-11-27 17:57:00,55.17,75.52
2020-11-27 18:12:00,53.64,77.58
2020-11-27 18:27:00,53.19,80.48
2020-11-27 18:42:00,52.03,81.8
2020-11-27 18:57:00,51.71,83.26
2020-11-27 19:12:00,51.13,84.66
2020-11-27 19:27:00,51.15,83.69
2020-11-27 19:42:00,50.85,85.38
2020-11-27 19:57:00,50.54,85.39
2020-11-27 20:12:00,50.11,87.01
2020-11-27 20:27:00,50.2,87.05
2020-11-27 20:42:00,49.68,88.99
2020-11-27 20:57:00,49.73,90.24
2020-11-27 21:12:00,49.32,89.64
